"Statistic","Variable","F","num_df","den_df","F_p","F_p.asterisks","Estimate","SE","Lower_CI","Upper_CI","t","df","t_p","t_p.asterisks"
"F","RT.based_Groups",0.407080346412932,1,44.058769949628,0.526757566845926,,,,,,,,,
"F","condition",0.89340268463268,2,44.2506079107571,0.416513442430947,,,,,,,,,
"F","languageVSvision",7.55295355165861,1,5.01568238891727,0.0402586802050415,"*",,,,,,,,
"F","timewindow",136.956313786717,3,264.906407935885,1.37303514189055e-53,"***",,,,,,,,
"F","RT.based_Groups:condition",0.17826211652623,2,44.2506076912585,0.837320951372244,,,,,,,,,
"F","RT.based_Groups:languageVSvision",23.857007768954,1,258439.000583972,1.03825301889436e-06,"***",,,,,,,,
"F","condition:languageVSvision",2.37511768461177,2,258439.000559848,0.0930055735512305,,,,,,,,,
"F","RT.based_Groups:timewindow",107.360535560917,3,258439.000596923,1.82561275126279e-69,"***",,,,,,,,
"F","condition:timewindow",29.1858287224953,6,258439.000587037,3.80225785194532e-35,"***",,,,,,,,
"F","languageVSvision:timewindow",7495.6655045646,3,258439.000562319,0,"***",,,,,,,,
"F","RT.based_Groups:condition:languageVSvision",73.582909704252,2,258439.000574678,1.12834944009899e-32,"***",,,,,,,,
"F","RT.based_Groups:condition:timewindow",17.1174301469412,6,258439.000557376,6.90364657291976e-20,"***",,,,,,,,
"F","RT.based_Groups:languageVSvision:timewindow",41.173547388842,3,258439.000557376,1.36591181932128e-26,"***",,,,,,,,
"F","condition:languageVSvision:timewindow",7.67797039923975,6,258439.000567263,2.87485554519764e-08,"***",,,,,,,,
"F","RT.based_Groups:condition:languageVSvision:timewindow",4.88959886156305,6,258439.000582093,5.25414181356953e-05,"***",,,,,,,,
"t","(Intercept)",,,,,,-0.0151748852653879,0.163694407507147,-0.336015923979397,0.305666153448621,-0.0927025272059177,36.0515261502477,0.926653139619387,
"t","RT.based_Groups1",,,,,,0.0869299372144798,0.136247806359235,-0.180115763249621,0.353975637678581,0.638028160139896,44.0587699497227,0.526757775710282,
"t","condition1",,,,,,-0.011609429886821,0.0999540469689116,-0.207519361945888,0.184300502172246,-0.116147672244145,44.2264887186038,0.908061310987329,
