participant,group,Lefthanded,Gender,A_V_OK,Event,condition,CONTEXT_Trial,CONTEXT_Item,CONTEXT_Accuracy,CONTEXT_RT,CONTEXT_Position,CONTEXT_cat,CONTEXT_catspec,CONTEXT_solution,CONTEXT_property,CONTEXT_concept,CONTEXT_LSA_distance,CONTEXT_mean_perceptualstrength,CONTEXT_mean_concreteness,CONTEXT_mean_exc,CONTEXT_prop_concreteness,CONTEXT_prop_exc,CONTEXT_prop_lg10CD,CONTEXT_prop_orthneigh,CONTEXT_prop_letters,CONTEXT_conc_concreteness,CONTEXT_conc_exc,CONTEXT_conc_lg10CD,CONTEXT_conc_letters,CONTEXT_mean_lg10CD,CONTEXT_conc_orthneigh,TARGET_Trial,TARGET_Item,TARGET_Accuracy,TARGET_RT,TARGET_Position,TARGET_cat,TARGET_catspec,TARGET_solution,TARGET_property,TARGET_concept,TARGET_LSA_distance,TARGET_mean_perceptualstrength,TARGET_mean_concreteness,TARGET_mean_exc,TARGET_prop_concreteness,TARGET_prop_exc,TARGET_prop_lg10CD,TARGET_prop_orthneigh,TARGET_prop_letters,TARGET_conc_concreteness,TARGET_conc_exc,TARGET_conc_lg10CD,TARGET_conc_letters,TARGET_mean_lg10CD,TARGET_conc_orthneigh,log_cooccurrence_propertytoproperty
1,Quick,N,F,Y,1,haptic2visual,1,117,rightanswer,448,context,haptic,h_de,Ja,Slijmerige,Vloeistof,0.650393,4,3.735,0.222513743,3.27,0.289855072,1.75,1,10,4.2,0.155172414,2.21,9,1.98,0,2,30,rightanswer,459,target,visual,v_de,Nee,Beige,Hoeveelheid,0.950069,3.548,3.265,0.420833334,4.6,0.541666667,1.76,1,5,1.93,0.3,2.5,11,2.13,0,0
2,Quick,N,F,Y,1,visual2visual,1,149,rightanswer,532,context,visual,v_de,Nee,Vuile,Prins,0.938472,2.929,3.7,0.224053296,NA,0.274193548,3.25,10,5,NA,0.173913044,2.78,5,3.015,2,2,48,wronganswer,365,target,visual,v_de,Ja,Rotsige,Beurs,0.981565,2.6,3.07,0.3046875,NA,0.359375,0.78,1,7,NA,0.25,2.61,5,1.695,1,4.418840608
3,Quick,N,F,Y,1,auditory2visual,1,214,rightanswer,712,context,auditory,a_het,Ja,Schel,Geluid,0.618908,3.619,3.27,0.520108696,NA,0.475,1,10,5,NA,0.565217391,3.14,6,2.07,4,2,105,rightanswer,593,target,visual,v_de,Nee,Lage,Magie,0.96932,3.386,2.335,0.558045977,NA,0.633333333,2.61,0,4,NA,0.482758621,2.75,5,2.68,1,9.106977859
4,Quick,N,F,Y,1,visual2visual,1,173,wronganswer,1415,context,visual,v_het,Nee,Licht,Fortuin,0.945551,3.173,3.265,0.38125,NA,0.5125,3.43,10,5,NA,0.25,2.69,7,3.06,0,2,54,rightanswer,1269,target,visual,v_de,Nee,Fonkelende,Verhulling,NA,3.367,3.87,0.339673913,NA,0.375,1.3,1,10,NA,0.304347826,0.78,10,1.04,1,8.096512918
5,Quick,Y,F,Y,1,visual2visual,1,162,rightanswer,1268,context,visual,v_het,Nee,Rot,Mandaat,1.07219,2.396,2.965,0.294117647,NA,0.470588235,3.33,24,3,NA,0.117647059,1.49,7,2.41,0,2,48,wronganswer,1230,target,visual,v_de,Ja,Rotsige,Beurs,0.981565,2.6,3.07,0.3046875,NA,0.359375,0.78,1,7,NA,0.25,2.61,5,1.695,1,0
6,,N,F,Y,1,auditory2visual,1,197,rightanswer,746,context,auditory,a_het,Nee,Lachend,Wantrouwen,0.921945,3.829,2.9,0.34375,NA,0.5,2.03,16,7,NA,0.1875,1.98,10,2.005,1,2,89,rightanswer,645,target,visual,v_de,Nee,Vlezige,Huur,0.947536,3.086,2.965,0.342320262,NA,0.361111111,1.04,0,7,NA,0.323529412,2.95,4,1.995,9,0
8,,N,F,Y,1,visual2visual,1,177,wronganswer,686,context,visual,v_de,Ja,Bolvormige,Formatie,0.83644,3.413,2.9,0.432432432,NA,0.486486486,0.48,0,10,NA,0.378378378,2.04,8,1.26,0,2,69,wronganswer,648,target,visual,v_de,Ja,Lichtbruine,Verhulling,NA,3.967,3.6,0.502173913,NA,0.7,0.9,0,11,NA,0.304347826,0.78,10,0.84,1,0
9,,N,F,Y,1,visual2visual,1,178,rightanswer,1011,context,visual,v_het,Ja,Donker,Moment,0.684565,2.952,2.665,0.439024391,NA,0.634146342,3.28,1,6,NA,0.243902439,3.7,6,3.49,0,2,70,wronganswer,3189,target,visual,v_het,Nee,Onbeweeglijk,Gebaar,0.872001,3.722,3.03,0.51532567,NA,0.444444444,1.23,0,12,NA,0.586206896,2.48,6,1.855,4,0
10,,N,F,Y,1,haptic2visual,1,119,rightanswer,703,context,haptic,h_het,Ja,Ruw,Contact,0.850669,3.357,3.135,0.228896104,NA,0.321428571,2.49,11,3,NA,0.136363636,3.37,7,2.93,2,2,11,wronganswer,525,target,visual,v_de,Ja,Droge,Weerstand,1.0069,3.671,3.065,0.309200604,NA,0.461538462,2.5,4,5,NA,0.156862745,2.36,9,2.43,0,9.699533696
11,Quick,N,F,Y,1,visual2visual,1,157,rightanswer,1157,context,visual,v_het,Ja,Vreemd,Aspect,0.886507,2.438,1.57,0.270186336,NA,0.15942029,3.51,2,6,NA,0.380952381,2.04,6,2.775,0,2,40,rightanswer,903,target,visual,v_de,Ja,Smerige,Boerderij,0.787197,3.691,3.765,0.18005279,NA,0.308823529,2.94,3,7,NA,0.051282051,2.77,9,2.855,0,0
